Tag_Option,Account_Category,Account_Name,Account_Code,Total
8025100 - مشروع منظومة عمل إدارة دراسات الحالة,Operating Income,NPO sales (Third Sector) - مبيعات القطاع الثالث,413,0.0
8025110 - مشروع خارطة الاستثمار الاجتماعي في قطاع الشباب,Operating Income,NPO sales (Third Sector) - مبيعات القطاع الثالث,413,0.0
8025120 - مشروع تقديم خدمات استشارية لأكاديمية الفوزان,Operating Income,NPO sales (Third Sector) - مبيعات القطاع الثالث,413,0.0
8026010 - تأسيس وحدة الاستثمار الاجتماعي مع جمعية متلازمة النجاح,Operating Income,NPO sales (Third Sector) - مبيعات القطاع الثالث,413,112500.0
8026020 - التأهيل للتوظيف,Operating Income,NPO sales (Third Sector) - مبيعات القطاع الثالث,413,0.0
8026030 - حاضنة أثر الطاقة الاجتماعية,Operating Income,NPO sales (Third Sector) - مبيعات القطاع الثالث,413,0.0
Untagged,Operating Income,NPO sales (Third Sector) - مبيعات القطاع الثالث,413,0.0
Overall,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,6594381.47
8000010 - تسوية مراكز التكلفة تكامل,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8000011 - المصاريف العمومية والادارية تكامل,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8000020 - مصاريف بيعية وتسويقية تكامل,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8000030 - تدريب وتطوير تكامل,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8000040 - مكتب ادارة المشاريع تكامل,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8000050 - الاتصال المؤسسي تكامل,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8000060 - منصة قياس الأثر,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8023010 - إنشاء مقار إدارة العمل التطوعي لخدمة ضيوف الرحمن,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8023020 - منهجية عمل تعزز البنية المؤسسية للمنظمات غير الربحية,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8023030 - رفع الوعي الفني لدى منظمات القطاع غير الربحي,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8024010 - مشروع تقديم خدمات تأسيس وتفعيل وحدات ومراكز العمل التطوعي,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,585000.0
8024020 - مشروع الخدمات اللوجستية للعاملين في القطاع غير الربحي,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,504400.0
8024030 - تمكين الجمعيات المتخصصة العاملة في القطاع غير الربحي,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8024040 - تقديم الخدمات اللوجستية للتدريب في برنامج رائد,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,775000.0
8025010 - مشروع العربة,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,2764095.97
8025020 - مشروع وزارة الرياضة,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,392100.0
8025030 - تقديم 3000 ساعة عمل تطوعية لموظفين شركة الكهرباء,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8025040 - مصنع الابتكار - اشوكا,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,186133.33
8025050 - حصر الاحتياج التدريبي في منظومة الصحة,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8025060 - مجموعات عمل التطوع التكافلي,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8025070 - سفر الإفطار في الحرم المكي,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8025080 - سوق الدار,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,200000.0
8025090 - هاكاثون الوعي المعرفي,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8025100 - مشروع منظومة عمل إدارة دراسات الحالة,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,316500.0
8025110 - مشروع خارطة الاستثمار الاجتماعي في قطاع الشباب,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,43500.0
8025120 - مشروع تقديم خدمات استشارية لأكاديمية الفوزان,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,132000.0
8026010 - تأسيس وحدة الاستثمار الاجتماعي مع جمعية متلازمة النجاح,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
8026020 - التأهيل للتوظيف,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,695652.17
8026030 - حاضنة أثر الطاقة الاجتماعية,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
Untagged,Operating Income,Private Sector Sales - مبيعات القطاع الخاص,412,0.0
Overall,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,52835.0
8000010 - تسوية مراكز التكلفة تكامل,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8000011 - المصاريف العمومية والادارية تكامل,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8000020 - مصاريف بيعية وتسويقية تكامل,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8000030 - تدريب وتطوير تكامل,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8000040 - مكتب ادارة المشاريع تكامل,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8000050 - الاتصال المؤسسي تكامل,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8000060 - منصة قياس الأثر,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8023010 - إنشاء مقار إدارة العمل التطوعي لخدمة ضيوف الرحمن,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8023020 - منهجية عمل تعزز البنية المؤسسية للمنظمات غير الربحية,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8023030 - رفع الوعي الفني لدى منظمات القطاع غير الربحي,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8024010 - مشروع تقديم خدمات تأسيس وتفعيل وحدات ومراكز العمل التطوعي,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,52555.0
8024020 - مشروع الخدمات اللوجستية للعاملين في القطاع غير الربحي,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8024030 - تمكين الجمعيات المتخصصة العاملة في القطاع غير الربحي,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8024040 - تقديم الخدمات اللوجستية للتدريب في برنامج رائد,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,280.0
8025010 - مشروع العربة,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8025020 - مشروع وزارة الرياضة,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8025030 - تقديم 3000 ساعة عمل تطوعية لموظفين شركة الكهرباء,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8025040 - مصنع الابتكار - اشوكا,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8025050 - حصر الاحتياج التدريبي في منظومة الصحة,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8025060 - مجموعات عمل التطوع التكافلي,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8025070 - سفر الإفطار في الحرم المكي,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8025080 - سوق الدار,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8025090 - هاكاثون الوعي المعرفي,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8025100 - مشروع منظومة عمل إدارة دراسات الحالة,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8025110 - مشروع خارطة الاستثمار الاجتماعي في قطاع الشباب,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8025120 - مشروع تقديم خدمات استشارية لأكاديمية الفوزان,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8026010 - تأسيس وحدة الاستثمار الاجتماعي مع جمعية متلازمة النجاح,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8026020 - التأهيل للتوظيف,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
8026030 - حاضنة أثر الطاقة الاجتماعية,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
Untagged,Cost of Goods Sold,Advertising and promotion - 521109 - دعاية واعلان,521109,0.0
Overall,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,7293.51
8000010 - تسوية مراكز التكلفة تكامل,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.51
8000011 - المصاريف العمومية والادارية تكامل,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
8000020 - مصاريف بيعية وتسويقية تكامل,Cost of Goods Sold,Bank service charges - 530105 - خدمات بنكية,530105,0.0
